Product;Type;Release Date;Process Size (nm);TDP (W);Die Size (mm^2);Transistors (million);Freq (MHz);Foundry;Vendor;FP16 GFLOPS;FP32 GFLOPS;FP64 GFLOPS
Intel Core i3-4160;CPU;2014-07-21;220;540;1770;14000;36000;Intel;Intel;;;
Intel Core i7-4790;CPU;2014-05-01;220;840;1770;14000;36000;Intel;Intel;;;
Intel Core i5-3330;CPU;2012-09-03;220;770;1330;;30000;Intel;Intel;;;
AMD Sempron 2500+;CPU;2001-01-01;1300;620;1010;630;17500;Unknown;AMD;;;
Intel Core i7-7700;CPU;2017-01-03;140;650;;;36000;Intel;Intel;;;
Intel Core Duo T2700;CPU;2006-06-28;650;310;900;1510;23330;Intel;Intel;;;
Intel Core Solo ULV U1400;CPU;2006-04-19;650;50;900;1510;12000;Intel;Intel;;;
AMD Athlon 64 3500+;CPU;2004-06-01;1300;890;1440;690;22000;Unknown;AMD;;;
AMD Ryzen 5 2400G;CPU;2018-02-12;140;650;2100;49500;36000;GF;AMD;;;
AMD Ryzen 3 3250U;CPU;2020-01-06;120;150;2100;49400;26000;GF;AMD;;;
AMD Athlon II X2 260u;CPU;2009-10-20;450;250;1170;4100;18000;Unknown;AMD;;;
Intel Xeon Phi 7230F;CPU;2016-06-20;140;2300;;80000;13000;Intel;Intel;;;
Intel Xeon 2.8;CPU;2002-09-11;1300;890;2170;550;27900;Intel;Intel;;;
Intel Pentium 4 HT 3.2E;CPU;2004-02-01;900;1150;1090;1250;32000;Intel;Intel;;;
AMD Athlon XP 2400+;CPU;2002-08-21;1300;650;800;370;20000;Unknown;AMD;;;
Intel Core 2 Duo E6320;CPU;2007-04-01;650;650;1430;2910;18600;Intel;Intel;;;
AMD Phenom II X2 550 BE;CPU;2009-06-01;450;800;2580;7580;31000;Unknown;AMD;;;
Intel Celeron G1850;CPU;2014-05-01;220;540;1770;14000;29000;Intel;Intel;;;
Intel Pentium G622;CPU;2011-05-22;320;650;1310;5040;26000;Intel;Intel;;;
Intel Core i3-9000;CPU;2018-09-01;140;650;;;37000;Intel;Intel;;;
AMD Athlon 64 FX-70;CPU;2006-11-30;900;1250;2350;2270;26000;Unknown;AMD;;;
Intel Atom 230;CPU;2008-06-03;450;40;960;470;16000;Intel;Intel;;;
AMD Ryzen 5 3600;CPU;2019-07-07;70;650;740;38000;36000;TSMC;AMD;;;
Intel Pentium 4 HT 2.60;CPU;2003-05-21;1300;690;1310;550;26000;Intel;Intel;;;
